SubCategory,Relaxed Execution Accuracy
s1,0.9441287878787878
s8,0.9030955585464334
s2,0.9
s6,0.8914450035945363
s3,0.8781818181818182
s9,0.8611615245009074
s20,0.855457227138643
s16,0.8384615384615385
s17,0.8331242158092849
s13,0.8273244781783681
s4,0.8211858448558707
s7,0.8170988086895585
s19,0.7695834925487199
s12,0.7553763440860215
s11,0.75
s21,0.7451630735212825
s0,0.7158590308370044
all,0.7119753422173873
s14,0.6890756302521008
s28,0.6884955752212389
s22,0.6770348295772025
s15,0.6616822429906543
s29,0.65625
s25,0.5841374587561476
s24,0.5698924731182796
s5,0.5379310344827586
s18,0.52
s32,0.4580745341614907
s26,0.4541176470588235
s27,0.44308035714285715
s31,0.4140127388535032
s30,0.0
s33,0.0
s34,0.0
